streak_id,student_id,streak_active,streak_frozen,streak_created
833592,172218,1,0,"12/1/2022 8:29"
833593,298234,1,0,"12/1/2022 8:30"
833594,443420,1,0,"12/1/2022 8:31"
833595,304704,1,0,"12/1/2022 8:32"
833596,329360,1,0,"12/1/2022 8:32"
833597,295578,1,0,"12/1/2022 8:34"
833598,5,1,0,"12/1/2022 8:36"
833599,349901,1,0,"12/1/2022 8:36"
833600,404198,1,0,"12/1/2022 8:36"
833601,177202,1,0,"12/1/2022 8:38"
833602,324343,1,0,"12/1/2022 8:39"
833603,226169,1,0,"12/1/2022 8:39"
833604,295323,1,0,"12/1/2022 8:39"
833605,448142,1,0,"12/1/2022 8:40"
833606,422777,1,0,"12/1/2022 8:41"
833607,311170,1,0,"12/1/2022 8:45"
833608,313912,1,0,"12/1/2022 8:46"
833609,254310,1,0,"12/1/2022 8:48"
833610,156171,1,0,"12/1/2022 8:48"
833611,194043,1,0,"12/1/2022 8:48"
833612,455003,1,0,"12/1/2022 8:50"
833613,361345,1,0,"12/1/2022 8:53"
833614,9666,1,0,"12/1/2022 8:53"
833615,397540,1,0,"12/1/2022 8:53"
833616,296461,1,0,"12/1/2022 8:53"
833617,161693,1,0,"12/1/2022 8:54"
833618,369831,1,0,"12/1/2022 8:54"
833619,371574,1,0,"12/1/2022 8:56"
833620,449931,1,0,"12/1/2022 8:58"
833621,440954,1,0,"12/1/2022 9:00"
833622,261567,1,0,"12/1/2022 9:00"
833623,430754,1,0,"12/1/2022 9:01"
833626,455197,1,0,"12/1/2022 9:01"
833627,455194,1,0,"12/1/2022 9:02"
833630,1713,1,0,"12/1/2022 9:05"
833631,450994,1,0,"12/1/2022 9:06"
833632,199756,1,0,"12/1/2022 9:06"
833633,275786,1,0,"12/1/2022 9:07"
833634,448993,1,0,"12/1/2022 9:08"
833635,345552,1,0,"12/1/2022 9:08"
833636,455027,1,0,"12/1/2022 9:09"
833637,423998,1,0,"12/1/2022 9:10"
833638,260465,1,0,"12/1/2022 9:10"
833639,449308,1,0,"12/1/2022 9:11"
833640,370715,1,0,"12/1/2022 9:11"
833641,441908,1,0,"12/1/2022 9:12"
833642,445709,1,0,"12/1/2022 9:12"
833643,454583,1,0,"12/1/2022 9:12"
833644,284438,1,0,"12/1/2022 9:14"
833645,304851,1,0,"12/1/2022 9:15"
833646,450926,1,0,"12/1/2022 9:15"
833647,312359,1,0,"12/1/2022 9:16"
833648,212463,1,0,"12/1/2022 9:18"
833649,409180,1,0,"12/1/2022 9:20"
833650,448755,1,0,"12/1/2022 9:20"
833651,442476,1,0,"12/1/2022 9:21"
833652,18378,1,0,"12/1/2022 9:22"
833653,334389,1,0,"12/1/2022 9:24"
833654,340250,1,0,"12/1/2022 9:25"
833655,407948,1,0,"12/1/2022 9:27"
833656,455172,1,0,"12/1/2022 9:28"
833657,454532,1,0,"12/1/2022 9:29"
833658,393554,1,0,"12/1/2022 9:30"
833670,295411,1,0,"12/1/2022 9:33"
833671,340602,1,0,"12/1/2022 9:34"
833672,149213,1,0,"12/1/2022 9:35"
833673,195830,1,0,"12/1/2022 9:35"
833674,6026,1,0,"12/1/2022 9:35"
833675,396442,1,0,"12/1/2022 9:35"
833676,316270,1,0,"12/1/2022 9:35"
833677,275277,1,0,"12/1/2022 9:36"
833678,255016,1,0,"12/1/2022 9:37"
833679,183419,1,0,"12/1/2022 9:38"
833680,455203,1,0,"12/1/2022 9:38"
833681,293345,1,0,"12/1/2022 9:39"
833682,448642,1,0,"12/1/2022 9:39"
833683,335656,1,0,"12/1/2022 9:40"
833684,263338,1,0,"12/1/2022 9:41"
833685,454526,1,0,"12/1/2022 9:44"
833686,454878,1,0,"12/1/2022 9:45"
833687,242014,1,0,"12/1/2022 9:45"
833688,294676,1,0,"12/1/2022 9:47"
833689,261019,1,0,"12/1/2022 9:51"
833690,5583,1,0,"12/1/2022 9:54"
833691,254605,1,0,"12/1/2022 9:59"
833692,454261,1,0,"12/1/2022 9:59"
833693,455204,1,0,"12/1/2022 10:00"
833694,355488,1,0,"12/1/2022 10:00"
833695,447286,1,0,"12/1/2022 10:01"
833696,441569,1,0,"12/1/2022 10:01"
833697,202070,1,0,"12/1/2022 10:01"
833698,293600,1,0,"12/1/2022 10:01"
833699,217593,1,0,"12/1/2022 10:05"
833700,451029,1,0,"12/1/2022 10:06"
833701,298231,1,0,"12/1/2022 10:06"
833702,161471,1,0,"12/1/2022 10:07"
833703,455205,1,0,"12/1/2022 10:07"
833704,188397,1,0,"12/1/2022 10:08"
833705,424697,1,0,"12/1/2022 10:08"
833706,320922,1,0,"12/1/2022 10:09"
833707,291264,1,0,"12/1/2022 10:10"
833708,454840,1,0,"12/1/2022 10:11"
833709,313395,1,0,"12/1/2022 10:12"
833710,173561,1,0,"12/1/2022 10:16"
833711,408002,1,0,"12/1/2022 10:16"
833712,293214,1,0,"12/1/2022 10:17"
833713,436031,1,0,"12/1/2022 10:18"
833714,282032,1,0,"12/1/2022 10:18"
833715,355737,1,0,"12/1/2022 10:19"
833716,314144,1,0,"12/1/2022 10:20"
833717,258321,1,0,"12/1/2022 10:21"
833718,280148,1,0,"12/1/2022 10:23"
833719,3599,1,0,"12/1/2022 10:24"
833720,445128,1,0,"12/1/2022 10:24"
833721,414419,1,0,"12/1/2022 10:27"
833722,433034,1,0,"12/1/2022 10:27"
833723,290843,1,0,"12/1/2022 10:30"
833724,316962,1,0,"12/1/2022 10:32"
833725,453174,1,0,"12/1/2022 10:33"
833726,191091,1,0,"12/1/2022 10:35"
833727,441658,1,0,"12/1/2022 10:35"
833728,221898,1,0,"12/1/2022 10:36"
833729,210670,1,0,"12/1/2022 10:36"
833730,230140,1,0,"12/1/2022 10:36"
833731,439999,1,0,"12/1/2022 10:37"
833732,144023,1,0,"12/1/2022 10:37"
833733,147038,1,0,"12/1/2022 10:38"
833734,441416,1,0,"12/1/2022 10:38"
833735,426740,1,0,"12/1/2022 10:39"
833736,284180,1,0,"12/1/2022 10:40"
833737,3059,1,0,"12/1/2022 10:40"
833738,173105,1,0,"12/1/2022 10:41"
833739,286826,1,0,"12/1/2022 10:41"
833740,454304,1,0,"12/1/2022 10:43"
833741,375730,1,0,"12/1/2022 10:43"
833742,443176,1,0,"12/1/2022 10:43"
833743,7649,1,0,"12/1/2022 10:43"
833744,410516,1,0,"12/1/2022 10:44"
833745,355575,1,0,"12/1/2022 10:44"
833746,410991,1,0,"12/1/2022 10:46"
833747,447299,1,0,"12/1/2022 10:47"
833748,333836,1,0,"12/1/2022 10:48"
833749,428264,1,0,"12/1/2022 10:50"
833750,455034,1,0,"12/1/2022 10:52"
833751,455216,1,0,"12/1/2022 10:54"
833752,12205,1,0,"12/1/2022 10:54"
833753,443611,1,0,"12/1/2022 10:55"
833754,271257,1,0,"12/1/2022 10:55"
833755,431946,1,0,"12/1/2022 10:57"
